# DISTANCE ESTIMATE ERROR EXACT 
1.5  3.1152457 0.0017398   2.5449
2.0  3.1871436  0.0024243  2.8635 
2.5 3.3233557  0.0018326  3.1918
#3.0  3.5233193   0.0030402  
