-0.1572409E-10 -0.1414988E-13 -0.1552728E-10
 0.1117015E-14  0.6055886E-16 -0.5770905E-13
-0.6411442E-16 -0.2144042E-15  0.5354704E-14
-0.5365360E-10 -0.6679029E-15  0.5349091E-10
