-0.4168388E+01 -0.1336132E+01  0.1343550E+01
-0.3838379E+01 -0.9234582E+00  0.9768437E+00
-0.4163672E+01 -0.1690515E+01  0.1008439E+01
-0.3959983E+01 -0.2406127E+01  0.1393393E+01
-0.4185143E+01 -0.1644714E+01  0.1275742E+01
-0.3287189E+01 -0.6478960E+00  0.1410858E+01
-0.4505982E+01 -0.1449029E+01  0.1923806E+01
-0.3296229E+01 -0.1332510E+01  0.7711817E+00
-0.2551629E+01 -0.7821367E+00  0.1545831E+01
-0.3341188E+01 -0.8384551E+00  0.1832504E+01
-0.4008862E+01 -0.1160536E+01  0.8698908E+00
-0.3525090E+01 -0.1379979E+01  0.1263976E+01
-0.3083046E+01 -0.1963062E+01  0.1170304E+01
-0.4429781E+01 -0.2017481E+01  0.9089756E+00
-0.3370020E+01 -0.7668285E+00  0.1245475E+01
-0.3710087E+01 -0.1351618E+01  0.2022273E+01
-0.3754838E+01 -0.1564546E+01  0.2925513E+00
-0.3388251E+01 -0.2165178E+01  0.6221935E+00
-0.4141513E+01 -0.1009779E+01  0.1122704E+01
-0.4962560E+01 -0.1926815E+01  0.1259682E+01
-0.3490421E+01 -0.1791504E+01  0.1222579E+01
-0.4071025E+01 -0.1284107E+01  0.2274379E+01
-0.3182808E+01 -0.8856894E+00  0.1139278E+01
-0.4343137E+01 -0.1426913E+01  0.1931117E+01
-0.4157606E+01 -0.1080369E+01  0.8936611E+00
-0.3582525E+01 -0.8136165E+00  0.1634823E+01
-0.4280039E+01 -0.4494220E+00  0.1384490E+01
-0.3431350E+01 -0.8249549E+00  0.1800174E+01
-0.3634041E+01 -0.1105950E+01  0.1339988E+01
-0.4870007E+01 -0.1356613E+01  0.1576511E+01
-0.4067898E+01 -0.5340197E+00  0.5263593E+00
-0.3535948E+01 -0.1654492E+01  0.7818593E+00
-0.3511210E+01 -0.1720533E+01  0.1553429E+01
-0.3276904E+01 -0.1485459E+01  0.8511987E+00
-0.2986207E+01 -0.6250826E+00  0.8135891E+00
-0.3485903E+01 -0.1582455E+01  0.1815899E+01
-0.3681831E+01 -0.4448457E+00  0.1672136E+01
-0.4448100E+01 -0.8725566E+00  0.1041994E+01
-0.3795098E+01 -0.1042263E+01  0.1146822E+01
-0.4290716E+01 -0.2031694E+01  0.1829218E+01
-0.4006809E+01 -0.1677311E+01  0.2085415E+01
-0.3838163E+01 -0.1733035E+01  0.1067179E+01
-0.3854034E+01 -0.9751401E+00  0.1268821E+01
-0.3655290E+01 -0.1638277E+01  0.1179877E+01
-0.4650056E+01 -0.7138659E+00  0.1189118E+01
-0.4376524E+01 -0.1890652E+01  0.9269078E+00
-0.3392845E+01 -0.5742323E+00  0.1260565E+01
-0.3897864E+01 -0.1915595E+01  0.1196096E+01
-0.3355842E+01 -0.8151852E+00  0.1446130E+01
-0.3672816E+01 -0.7003353E+00  0.1324392E+01
-0.3823708E+01 -0.9405442E+00  0.7479198E+00
