 0.2000000E-02 -0.1895873E+01 -0.1028856E+01 -0.1793169E+01 -0.1911520E+01 -0.2025700E+01 -0.1524432E+01 -0.7886467E+00 -0.9058788E+00 -0.1421440E+01 -0.1374321E+01 -0.1907721E+01 -0.1128790E+01 -0.1591281E+01 -0.2588032E+01 -0.1746493E+01 -0.1854774E+01 -0.1983035E+01 -0.1526240E+01 -0.1288412E+01 -0.1392521E+01
 0.4000000E-02 -0.1895873E+01 -0.1028859E+01 -0.1793168E+01 -0.1911521E+01 -0.2025701E+01 -0.1524436E+01 -0.7886509E+00 -0.9058826E+00 -0.1421442E+01 -0.1374323E+01 -0.1907721E+01 -0.1128794E+01 -0.1591282E+01 -0.2588031E+01 -0.1746491E+01 -0.1854774E+01 -0.1983034E+01 -0.1526240E+01 -0.1288412E+01 -0.1392523E+01
 0.6000000E-02 -0.1895873E+01 -0.1028866E+01 -0.1793166E+01 -0.1911522E+01 -0.2025701E+01 -0.1524443E+01 -0.7886593E+00 -0.9058900E+00 -0.1421444E+01 -0.1374327E+01 -0.1907721E+01 -0.1128802E+01 -0.1591282E+01 -0.2588030E+01 -0.1746488E+01 -0.1854774E+01 -0.1983030E+01 -0.1526238E+01 -0.1288411E+01 -0.1392527E+01
 0.8000000E-02 -0.1895873E+01 -0.1028876E+01 -0.1793164E+01 -0.1911523E+01 -0.2025701E+01 -0.1524454E+01 -0.7886719E+00 -0.9059010E+00 -0.1421449E+01 -0.1374333E+01 -0.1907721E+01 -0.1128815E+01 -0.1591283E+01 -0.2588029E+01 -0.1746483E+01 -0.1854773E+01 -0.1983025E+01 -0.1526236E+01 -0.1288410E+01 -0.1392532E+01
 0.1000000E-01 -0.1895872E+01 -0.1028889E+01 -0.1793160E+01 -0.1911525E+01 -0.2025702E+01 -0.1524469E+01 -0.7886886E+00 -0.9059157E+00 -0.1421454E+01 -0.1374342E+01 -0.1907721E+01 -0.1128832E+01 -0.1591285E+01 -0.2588028E+01 -0.1746477E+01 -0.1854771E+01 -0.1983019E+01 -0.1526233E+01 -0.1288408E+01 -0.1392540E+01
 0.1200000E-01 -0.1895872E+01 -0.1028905E+01 -0.1793156E+01 -0.1911527E+01 -0.2025703E+01 -0.1524488E+01 -0.7887094E+00 -0.9059340E+00 -0.1421461E+01 -0.1374352E+01 -0.1907722E+01 -0.1128853E+01 -0.1591286E+01 -0.2588026E+01 -0.1746470E+01 -0.1854770E+01 -0.1983011E+01 -0.1526229E+01 -0.1288407E+01 -0.1392549E+01
 0.1400000E-01 -0.1895872E+01 -0.1028925E+01 -0.1793151E+01 -0.1911530E+01 -0.2025704E+01 -0.1524510E+01 -0.7887343E+00 -0.9059558E+00 -0.1421469E+01 -0.1374365E+01 -0.1907722E+01 -0.1128878E+01 -0.1591288E+01 -0.2588023E+01 -0.1746460E+01 -0.1854768E+01 -0.1983001E+01 -0.1526224E+01 -0.1288404E+01 -0.1392560E+01
 0.1600000E-01 -0.1895872E+01 -0.1028948E+01 -0.1793145E+01 -0.1911533E+01 -0.2025705E+01 -0.1524535E+01 -0.7887631E+00 -0.9059812E+00 -0.1421478E+01 -0.1374379E+01 -0.1907722E+01 -0.1128907E+01 -0.1591291E+01 -0.2588020E+01 -0.1746450E+01 -0.1854766E+01 -0.1982989E+01 -0.1526219E+01 -0.1288402E+01 -0.1392573E+01
 0.1800000E-01 -0.1895872E+01 -0.1028974E+01 -0.1793139E+01 -0.1911536E+01 -0.2025706E+01 -0.1524565E+01 -0.7887960E+00 -0.9060101E+00 -0.1421489E+01 -0.1374396E+01 -0.1907722E+01 -0.1128940E+01 -0.1591293E+01 -0.2588017E+01 -0.1746438E+01 -0.1854764E+01 -0.1982976E+01 -0.1526213E+01 -0.1288399E+01 -0.1392587E+01
 0.2000000E-01 -0.1895872E+01 -0.1029003E+01 -0.1793131E+01 -0.1911540E+01 -0.2025707E+01 -0.1524597E+01 -0.7888328E+00 -0.9060425E+00 -0.1421501E+01 -0.1374414E+01 -0.1907722E+01 -0.1128977E+01 -0.1591296E+01 -0.2588014E+01 -0.1746424E+01 -0.1854761E+01 -0.1982962E+01 -0.1526206E+01 -0.1288395E+01 -0.1392604E+01
